Olle_ID,Olle_Name,Olle_Start,Olle_End,Olle_Distance,Olle_Time
1,1코스,제주특별자치도 서귀포시 성산읍 시흥리,제주특별자치도 서귀포시 성산읍 고성리,15.1,4.5
2,2코스,제주특별자치도 서귀포시 성산읍 고성리,제주특별자치도 서귀포시 성산읍 온평리,14.5,4.5
3,3코스,제주특별자치도 서귀포시 성산읍 온평리,제주특별자치도 서귀포시 표선면 표선리,19.9,6.5
4,3코스,제주특별자치도 서귀포시 성산읍 온평리,제주특별자치도 서귀포시 표선면 표선리,13.7,4.5
5,4코스,제주특별자치도 서귀포시 표선면 표선리,제주특별자치도 서귀포시 남원읍 남원리,23.6,6.5
6,5코스,제주특별자치도 서귀포시 남원읍 남원리,제주특별자치도 서귀포시 하효동,13.1,4.5
7,6코스,제주특별자치도 서귀포시 하효동,제주특별자치도 서귀포시 서귀동,11,4.5
8,7코스,제주특별자치도 서귀포시 서귀동,제주특별자치도 서귀포시 월평동,17.7,5.5
9,8코스,제주특별자치도 서귀포시 월평동,제주특별자치도 서귀포시 안덕면 감산리,19.2,5.5
10,9코스,제주특별자치도 서귀포시 안덕면 감산리,제주특별자치도 서귀포시 안덕면 화순리,7.5,3.5
11,10코스,제주특별자치도 서귀포시 안덕면 화순리,제주특별자치도 서귀포시 대정읍 하모리,17.3,5.5
12,11코스,제주특별자치도 서귀포시 대정읍 하모리,제주특별자치도 서귀포시 대정읍 무릉리,17.8,5.5
13,12코스,제주특별자치도 서귀포시 대정읍 무릉리,제주특별자치도 제주시 한경면 용수리,17.1,5.5
14,13코스,제주특별자치도 제주시 한경면 용수리,제주특별자치도 제주시 한경면 저지리,14.8,4.5
15,14코스,제주특별자치도 제주시 한경면 저지리,제주특별자치도 제주시 한림읍 대림리,18.9,6.5
16,15코스,제주특별자치도 제주시 한림읍 대림리,제주특별자치도 제주시 애월읍 고내리 ,16.7,5.5
17,16코스,제주특별자치도 제주시 애월읍 고내리 ,제주특별자치도 제주시 애월읍 광령리,15.7,5.5
18,17코스,제주특별자치도 제주시 애월읍 광령리,제주특별자치도 제주시 일도일동 1448,17.9,6.5
19,18코스,제주특별자치도 제주시 일도일동 1448,제주특별자치도 제주시 조천읍 조천리 1209-1,19,6.5
20,19코스,제주특별자치도 제주시 조천읍 조천리 1209-1,제주특별자치도 제주시 구좌읍 김녕리,19.1,7
21,20코스,제주특별자치도 제주시 구좌읍 김녕리,제주특별자치도 제주시 구좌읍 상도리,17.3,5.5
22,21코스,제주특별자치도 제주시 구좌읍 상도리,제주특별자치도 제주시 구좌읍 종달리,11.1,3.5
23,1-1코스,제주특별자치도 제주시 우도면 연평리,제주특별자치도 제주시 우도면 연평리,11.5,4.5
24,7-1코스,제주특별자치도 서귀포시 법환동,제주특별자치도 서귀포시 서귀동,15,4.5
25,10-1코스,제주특별자치도 서귀포시 대정읍 가파리,제주특별자치도 서귀포시 대정읍 가파리,4.3,1.5
26,14-1코스,제주특별자치도 제주시 한경면 저지리,제주특별자치도 서귀포시 대정읍 무릉리,9.6,3.5
27,18-1코스,제주특별자치도 제주시 추자면 대서리,제주특별자치도 제주시 추자면 대서리,18.2,7
